URL,Filepath,Artist,Title,Genre
https://www.jamendo.com/track/35353,soon_a_shine_will_come_-_amelie.mp3,AMÉLIE,soon a shine will come,pop
https://www.jamendo.com/track/1103980,The_One_I_Waited_For_-_Anydoll.mp3,ANYDOLL,The One I Waited For,pop
https://www.jamendo.com/track/1785168,Criminal_-_Axl_amp_Arth.mp3,AXL & ARTH,Criminal,pop
https://www.jamendo.com/track/493241,Danie_Nel_-_Heretic's_Bet_-_Danie_Nel.mp3,DANIE NEL,Danie Nel - Heretic's Bet,pop
https://www.jamendo.com/track/1932670,RED_LIGHT_-_EGOR_BUDENNYY.mp3,EGOR BUDENNYY,RED LIGHT,pop
https://www.jamendo.com/track/1955723,I._D._F._X._-_One_Day.mp3,I. D. F. X.,One Day,pop
https://www.jamendo.com/track/81659,Analogic_-_j.s.marti.mp3,J.S.MARTI,Analogic,pop
https://www.jamendo.com/track/450546,20_20_-_joshwoodward.mp3,JOSH WOODWARD,20/20,pop
https://www.jamendo.com/track/320059,Only_Whispering_-_joshwoodward.mp3,JOSH WOODWARD,Only Whispering,pop
https://www.jamendo.com/track/1273391,Nerves_-_lillywolf.mp3,LILLY WOLF,Nerves,pop
https://www.jamendo.com/track/74557,My_backyard_-_loonattic.mp3,LOON ATTIC,My backyard,pop
https://www.jamendo.com/track/1121395,Demon_-_Marco_Margna.mp3,MARCO MARGNA,Demon,pop
https://www.jamendo.com/track/1768731,See_The_World_-_Mercury_amp_The_Architects.mp3,MERCURY & THE ARCHITECTS,See The World,pop
https://www.jamendo.com/track/6606,A_song_for_memory_-_overallbrothers.mp3,OVER ALL BROTHERS,A song for memory,pop
https://www.jamendo.com/track/2057067,Samie_Bower_-_How_Far.mp3,SAMIE BOWER,How Far,pop
https://www.jamendo.com/track/1938879,Better_-_Square_a_Saw.mp3,SQUARE A SAW,Better,pop
https://www.jamendo.com/track/1696907,Luck's_All_Gone_-_The_Devil_Music_Co..mp3,THE DEVIL MUSIC CO.,Luck's All Gone,pop
https://www.jamendo.com/track/1791799,Find_A_Way_-_THE_DLX.mp3,THE DLX,Find A Way,pop
https://www.jamendo.com/track/1103977,Come_On_Join_In_-_Anydoll.mp3,ANYDOLL,Come On Join In,rock
https://www.jamendo.com/track/246,Take_Up_Arms_-_both.mp3,BOTH,Take Up Arms,rock
https://www.jamendo.com/track/984997,Rock_Paper_Scissors_-_DOWN_TO_NINE.mp3,DOWN TO NINE,Rock Paper Scissors,rock
https://www.jamendo.com/track/68461,Give_Me_Hell_-_dropalive.mp3,DROP ALIVE,Give Me Hell,rock
https://www.jamendo.com/track/149128,Betsy_-_Houdini_Roadshow.mp3,HOUDINI ROADSHOW,Betsy,rock
https://www.jamendo.com/track/149054,Sick_Love_-_Houdini_Roadshow.mp3,HOUDINI ROADSHOW,Sick Love,rock
https://www.jamendo.com/track/238747,don`t_believe_in_what_you_see_-_nocreeps.mp3,NOCREEPS,don`t believe in what you see,rock
